k,angle (fraction of π),cos(x)
0,0,1.0
1,π/6,0.866025
2,2π/6,0.5
3,3π/6,0.0
4,4π/6,-0.5
5,5π/6,-0.866025
6,6π/6,-1.0
7,7π/6,-0.866025
8,8π/6,-0.5
9,9π/6,0.0
10,10π/6,0.5
11,11π/6,0.866025
12,12π/6,1.0
13,13π/6,0.866025
14,14π/6,0.5
15,15π/6,0.0
16,16π/6,-0.5
17,17π/6,-0.866025
18,18π/6,-1.0
19,19π/6,-0.866025
20,20π/6,-0.5
21,21π/6,0.0
22,22π/6,0.5
23,23π/6,0.866025
24,24π/6,1.0
25,25π/6,0.866025
26,26π/6,0.5
27,27π/6,0.0
28,28π/6,-0.5
29,29π/6,-0.866025
30,30π/6,-1.0
31,31π/6,-0.866025
32,32π/6,-0.5
33,33π/6,0.0
34,34π/6,0.5
35,35π/6,0.866025
36,36π/6,1.0
37,37π/6,0.866025
38,38π/6,0.5
39,39π/6,0.0
40,40π/6,-0.5
41,41π/6,-0.866025
42,42π/6,-1.0
43,43π/6,-0.866025
44,44π/6,-0.5
45,45π/6,0.0
46,46π/6,0.5
47,47π/6,0.866025
48,48π/6,1.0
