k,angle (fraction of π),sin(x)
0,0,0.0
1,π/6,0.5
2,2π/6,0.866025
3,3π/6,1.0
4,4π/6,0.866025
5,5π/6,0.5
6,6π/6,0.0
7,7π/6,-0.5
8,8π/6,-0.866025
9,9π/6,-1.0
10,10π/6,-0.866025
11,11π/6,-0.5
12,12π/6,0.0
13,13π/6,0.5
14,14π/6,0.866025
15,15π/6,1.0
16,16π/6,0.866025
17,17π/6,0.5
18,18π/6,0.0
19,19π/6,-0.5
20,20π/6,-0.866025
21,21π/6,-1.0
22,22π/6,-0.866025
23,23π/6,-0.5
24,24π/6,0.0
25,25π/6,0.5
26,26π/6,0.866025
27,27π/6,1.0
28,28π/6,0.866025
29,29π/6,0.5
30,30π/6,0.0
31,31π/6,-0.5
32,32π/6,-0.866025
33,33π/6,-1.0
34,34π/6,-0.866025
35,35π/6,-0.5
36,36π/6,0.0
37,37π/6,0.5
38,38π/6,0.866025
39,39π/6,1.0
40,40π/6,0.866025
41,41π/6,0.5
42,42π/6,0.0
43,43π/6,-0.5
44,44π/6,-0.866025
45,45π/6,-1.0
46,46π/6,-0.866025
47,47π/6,-0.5
48,48π/6,0.0
